ts,s_mem_available,s_mem_used,s_mem_free,s_swap_used,s_swap_free,s_swap_percent,s_disk_usage_used,s_disk_usage_free,s_disk_usage_percent,s_io_counters_read,s_io_counters_write,s_io_counters_read_bytes,s_io_counters_write_bytes,s_io_counters_read_time,s_io_counters_write_time,s_syscalls_ctx_switches,s_syscalls_interrupts,s_syscalls_soft_interrupts,s_syscalls_syscalls,s_cpu_percent
2024-07-03 15:10:05.837044,7152951296,9973538816,7152951296,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,308950,11493037056,6794918912,1070,439,288358957,190123910,0,893978962,4.0
2024-07-03 15:10:07.100967,7169622016,9956868096,7169622016,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,308973,11493037056,6796319744,1070,439,288369183,190131895,0,894037824,1.6
2024-07-03 15:10:08.106641,7170785280,9955704832,7170785280,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,308985,11493037056,6796537856,1070,439,288378779,190138765,0,894074531,1.6
2024-07-03 15:10:09.112124,7171018752,9955471360,7171018752,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,308987,11493037056,6796546048,1070,439,288388212,190145900,0,894112801,2.1
2024-07-03 15:10:10.116856,7173455872,9953034240,7173455872,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309018,11493037056,6797011968,1070,439,288397331,190152740,0,894149191,1.4
2024-07-03 15:10:11.122783,7174819840,9951670272,7174819840,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309148,11493037056,6798576640,1070,439,288407692,190160863,0,894191929,0.7
2024-07-03 15:10:12.128234,7169212416,9957277696,7169212416,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309166,11493037056,6799567872,1070,439,288416746,190168079,0,894227529,1.4
2024-07-03 15:10:13.133671,7170101248,9956388864,7170101248,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309167,11493037056,6799698944,1070,439,288425904,190175102,0,894262920,1.2
2024-07-03 15:10:14.140329,7172034560,9954455552,7172034560,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309185,11493037056,6800804864,1070,439,288434327,190181786,0,894299118,0.4
2024-07-03 15:10:15.145833,7174393856,9952096256,7174393856,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309191,11493037056,6800934912,1070,439,288442282,190188145,0,894329089,1.2
2024-07-03 15:10:16.150847,7173357568,9953132544,7173357568,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309224,11493037056,6801225728,1070,439,288453222,190196474,0,894375297,1.8
2024-07-03 15:10:17.156068,7173095424,9953394688,7173095424,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309247,11493037056,6802618368,1070,439,288461526,190202971,0,894407596,0.8
2024-07-03 15:10:18.161840,7177842688,9948647424,7177842688,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309259,11493037056,6803720192,1070,439,288470216,190209604,0,894457855,1.7
2024-07-03 15:10:19.167216,7177711616,9948778496,7177711616,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309271,11493037056,6803800576,1070,439,288479270,190216572,0,894496021,0.8
2024-07-03 15:10:20.172902,7178440704,9948049408,7178440704,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309272,11493037056,6803804672,1070,439,288487656,190222990,0,894528899,1.2
2024-07-03 15:10:21.178889,7178092544,9948397568,7178092544,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309304,11493037056,6804633600,1070,439,288496621,190229762,0,894567383,1.0
2024-07-03 15:10:22.183607,7179345920,9947144192,7179345920,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309315,11493037056,6804694016,1070,439,288505622,190236858,0,894602327,1.2
2024-07-03 15:10:23.189136,7179657216,9946832896,7179657216,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309325,11493037056,6804738560,1070,439,288514077,190243413,0,894636142,1.0
2024-07-03 15:10:24.194496,7177740288,9948749824,7177740288,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309326,11493037056,6804746752,1070,439,288522170,190249847,0,894669719,1.6
2024-07-03 15:10:25.199808,7178375168,9948114944,7178375168,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309336,11493037056,6804870144,1070,439,288531147,190257004,0,894704228,1.6
2024-07-03 15:10:26.205043,7180128256,9946361856,7180128256,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309362,11493037056,6805070848,1070,439,288541431,190264756,0,894747790,2.8
2024-07-03 15:10:27.210281,7179337728,9947152384,7179337728,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309375,11493037056,6805171200,1070,439,288549347,190271387,0,894779906,0.9
2024-07-03 15:10:28.215423,7180701696,9945788416,7180701696,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309377,11493037056,6805191680,1070,439,288558505,190278491,0,894817404,1.7
2024-07-03 15:10:29.220599,7180193792,9946296320,7180193792,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309380,11493037056,6805203968,1070,439,288567082,190285419,0,894871186,1.2
2024-07-03 15:10:30.225737,7179370496,9947119616,7179370496,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309383,11493037056,6805212672,1070,439,288574961,190291697,0,894901895,0.1
2024-07-03 15:10:31.231557,7182397440,9944092672,7182397440,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309407,11493037056,6805406720,1070,439,288584985,190299344,0,894944624,1.7
2024-07-03 15:10:32.237077,7180795904,9945694208,7180795904,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309407,11493037056,6805406720,1070,439,288593616,190308584,0,894978020,8.5
2024-07-03 15:10:33.242318,7186079744,9940410368,7186079744,155504640,8165994496,1.9,478462111744,964657152,99.8,315885,309412,11493037056,6805745152,1070,439,288602506,190315312,0,895012051,0.8
2024-07-03 15:10:34.247248,7187963904,9938526208,7187963904,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309424,11493037056,6805826560,1070,439,288612566,190322800,0,895052073,2.0
2024-07-03 15:10:35.252549,7153135616,9973354496,7153135616,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309429,11493037056,6805958656,1070,439,288620935,190329423,0,895085039,0.4
2024-07-03 15:10:36.257786,7152201728,9974288384,7152201728,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309458,11493037056,6806183936,1070,439,288631162,190337466,0,895126300,1.2
2024-07-03 15:10:37.263200,7156285440,9970204672,7156285440,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309461,11493037056,6806202880,1070,439,288640217,190344550,0,895162677,1.3
2024-07-03 15:10:38.269107,7153266688,9973223424,7153266688,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309485,11493037056,6806340608,1070,439,288649073,190351465,0,895196393,0.8
2024-07-03 15:10:39.275183,7183233024,9943257088,7183233024,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309486,11493037056,6806344704,1070,439,288657182,190357888,0,895230297,1.0
2024-07-03 15:10:40.280360,7181017088,9945473024,7181017088,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309489,11493037056,6806356480,1070,439,288665986,190364884,0,895284676,1.6
2024-07-03 15:10:41.285758,7181017088,9945473024,7181017088,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309558,11493037056,6806949888,1070,439,288675831,190372449,0,895326547,1.3
2024-07-03 15:10:42.290852,7183974400,9942515712,7183974400,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309611,11493037056,6807536640,1070,439,288684896,190379590,0,895359611,1.8
2024-07-03 15:10:43.295699,7179751424,9946738688,7179751424,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309611,11493037056,6807536640,1070,439,288694884,190387103,0,895398625,1.3
2024-07-03 15:10:44.301211,7183519744,9942970368,7183519744,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309614,11493037056,6807547904,1070,439,288703513,190393847,0,895433307,0.6
2024-07-03 15:10:45.307332,7181680640,9944809472,7181680640,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309619,11493037056,6807629312,1070,439,288711971,190400477,0,895464126,0.4
2024-07-03 15:10:46.312434,7181426688,9945063424,7181426688,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309654,11493037056,6807916032,1070,439,288723434,190408997,0,895509305,1.8
2024-07-03 15:10:47.318449,7183183872,9943306240,7183183872,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309656,11493037056,6807944704,1070,439,288731955,190415898,0,895543649,0.8
2024-07-03 15:10:48.324114,7181991936,9944498176,7181991936,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309666,11493037056,6807983616,1070,439,288740597,190422178,0,895574835,1.3
2024-07-03 15:10:49.329042,7182880768,9943609344,7182880768,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309680,11493037056,6808088576,1070,439,288752873,190430859,0,895647581,1.7
2024-07-03 15:10:50.334236,7183429632,9943060480,7183429632,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309683,11493037056,6808100352,1070,439,288761422,190437246,0,895679726,1.3
2024-07-03 15:10:51.339735,7183159296,9943330816,7183159296,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309708,11493037056,6808526336,1070,439,288770501,190444146,0,895735560,1.4
2024-07-03 15:10:52.344581,7183581184,9942908928,7183581184,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309710,11493037056,6808530432,1070,439,288779698,190451293,0,895771055,1.3
2024-07-03 15:10:53.349449,7184293888,9942196224,7184293888,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309713,11493037056,6808539136,1070,439,288789089,190458231,0,895804421,0.9
2024-07-03 15:10:54.354206,7186182144,9940307968,7186182144,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309738,11493037056,6808710144,1070,439,288797370,190464852,0,895837640,1.6
2024-07-03 15:10:55.359099,7185428480,9941061632,7185428480,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309741,11493037056,6808783872,1070,439,288806558,190471835,0,895872003,1.0
2024-07-03 15:10:56.364206,7184035840,9942454272,7184035840,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309765,11493037056,6808979968,1070,439,288817522,190479807,0,895914097,1.2
2024-07-03 15:10:57.369398,7184691200,9941798912,7184691200,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309767,11493037056,6808988160,1070,439,288825742,190486400,0,895945166,1.0
2024-07-03 15:10:58.374406,7184130048,9942360064,7184130048,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309767,11493037056,6808988160,1070,439,288835648,190493498,0,895981265,1.4
2024-07-03 15:10:59.379498,7185633280,9940856832,7185633280,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309770,11493037056,6809002496,1070,439,288844835,190500085,0,896016355,1.7
2024-07-03 15:11:00.384720,7184551936,9941938176,7184551936,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309773,11493037056,6809013248,1070,439,288853165,190506815,0,896048489,0.5
2024-07-03 15:11:01.390167,7184039936,9942450176,7184039936,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309797,11493037056,6809209344,1070,439,288862714,190514177,0,896089152,1.3
2024-07-03 15:11:02.395701,7184470016,9942020096,7184470016,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309797,11493037056,6809209344,1070,439,288871634,190521391,0,896139978,2.8
2024-07-03 15:11:03.400944,7185801216,9940688896,7185801216,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309799,11493037056,6809218560,1070,439,288880211,190529611,0,896173776,7.7
2024-07-03 15:11:04.405590,7184322560,9942167552,7184322560,155504640,8165994496,1.9,478462144512,964624384,99.8,315885,309802,11493037056,6809232384,1070,439,288889539,190536709,0,896212910,1.6
