ts,s_mem_available,s_mem_used,s_mem_free,s_swap_used,s_swap_free,s_swap_percent,s_disk_usage_used,s_disk_usage_free,s_disk_usage_percent,s_io_counters_read,s_io_counters_write,s_io_counters_read_bytes,s_io_counters_write_bytes,s_io_counters_read_time,s_io_counters_write_time,s_syscalls_ctx_switches,s_syscalls_interrupts,s_syscalls_soft_interrupts,s_syscalls_syscalls,s_cpu_percent
2024-11-20 18:17:55.991810,8267141120,8862494720,8267141120,67903488,7448289280,0.9,414832226304,63878365184,86.7,2159414,1867744,105171538432,52512452608,18906,7792,3838867674,2187472880,0,1776841814,5.0
2024-11-20 18:17:56.998088,8271134720,8858501120,8271134720,67903488,7448289280,0.9,414832226304,63878365184,86.7,2159414,1867744,105171538432,52512452608,18906,7792,3838904380,2187494456,0,1776929209,3.1
2024-11-20 18:17:58.005374,8276234240,8853401600,8276234240,67903488,7448289280,0.9,414832226304,63878365184,86.7,2159415,1867751,105171554816,52512515584,18906,7792,3838953305,2187522310,0,1777072107,2.9
2024-11-20 18:17:59.010955,8280047616,8849588224,8280047616,67903488,7448289280,0.9,414832226304,63878365184,86.7,2159415,1867752,105171554816,52512516608,18906,7792,3838981972,2187540045,0,1777141482,2.7
2024-11-20 18:18:00.016937,8280846336,8848789504,8280846336,67903488,7448289280,0.9,414832226304,63878365184,86.7,2159415,1867756,105171554816,52512620032,18906,7792,3839034898,2187570388,0,1777261598,4.3
2024-11-20 18:18:01.023653,8291835904,8837799936,8291835904,67903488,7448289280,0.9,414832226304,63878365184,86.7,2159415,1867756,105171554816,52512620032,18906,7792,3839098614,2187606714,0,1777416975,3.3
2024-11-20 18:18:02.030984,8287084544,8842551296,8287084544,67903488,7448289280,0.9,414832226304,63878365184,86.7,2159415,1867757,105171554816,52512621056,18906,7792,3839169535,2187647062,0,1777568050,3.9
2024-11-20 18:18:03.037749,8270225408,8859410432,8270225408,67903488,7448289280,0.9,414832230400,63878361088,86.7,2159415,1867825,105171554816,52513070080,18906,7792,3839251178,2187692101,0,1777772058,3.7
2024-11-20 18:18:04.045203,8265338880,8864296960,8265338880,67903488,7448289280,0.9,414832230400,63878361088,86.7,2159415,1867837,105171554816,52513141248,18906,7792,3839292787,2187716446,0,1777875401,2.6
2024-11-20 18:18:05.052829,8276533248,8853102592,8276533248,67903488,7448289280,0.9,414832230400,63878361088,86.7,2159415,1867839,105171554816,52513149440,18906,7792,3839316728,2187731639,0,1777936772,2.8
2024-11-20 18:18:06.059053,8279691264,8849944576,8279691264,67903488,7448289280,0.9,414832230400,63878361088,86.7,2159415,1867842,105171554816,52513158144,18906,7792,3839340035,2187746573,0,1778003542,2.1
2024-11-20 18:18:07.066224,8289103872,8840531968,8289103872,67903488,7448289280,0.9,414832230400,63878361088,86.7,2159415,1867843,105171554816,52513159680,18906,7792,3839365546,2187762542,0,1778075389,2.0
