ts,s_mem_available,s_mem_used,s_mem_free,s_swap_used,s_swap_free,s_swap_percent,s_disk_usage_used,s_disk_usage_free,s_disk_usage_percent,s_io_counters_read,s_io_counters_write,s_io_counters_read_bytes,s_io_counters_write_bytes,s_io_counters_read_time,s_io_counters_write_time,s_syscalls_ctx_switches,s_syscalls_interrupts,s_syscalls_soft_interrupts,s_syscalls_syscalls,s_cpu_percent
2024-11-20 21:46:18.927893,5979004928,11150630912,5979004928,137875456,7378317312,1.8,415125254144,63585337344,86.7,2232577,1991290,108741752832,55303133184,19160,8098,4183922120,2384887157,0,2725228115,5.5
2024-11-20 21:46:19.938171,5977841664,11151794176,5977841664,137875456,7378317312,1.8,415125254144,63585337344,86.7,2232578,1991295,108741834752,55303163904,19160,8098,4183992247,2384926153,0,2725423536,3.5
2024-11-20 21:46:20.952858,5981364224,11148271616,5981364224,137875456,7378317312,1.8,415125254144,63585337344,86.7,2232578,1991295,108741834752,55303163904,19160,8098,4184035892,2384950826,0,2725526911,6.0
2024-11-20 21:46:21.962399,5982269440,11147366400,5982269440,137875456,7378317312,1.8,415125028864,63585562624,86.7,2232579,1991305,108741851136,55303276544,19161,8099,4184078992,2384974997,0,2725634320,5.3
2024-11-20 21:46:22.971574,5981925376,11147710464,5981925376,137875456,7378317312,1.8,415125028864,63585562624,86.7,2232579,1991307,108741851136,55303280128,19161,8099,4184132272,2385005710,0,2725750573,5.1
2024-11-20 21:46:23.981032,5981323264,11148312576,5981323264,137875456,7378317312,1.8,415125028864,63585562624,86.7,2232580,1991320,108741855232,55303351296,19161,8099,4184178501,2385031816,0,2725875789,5.3
2024-11-20 21:46:24.989066,5984157696,11145478144,5984157696,137875456,7378317312,1.8,415125032960,63585558528,86.7,2232580,1991353,108741855232,55303605248,19161,8099,4184222356,2385056608,0,2725981186,5.6
2024-11-20 21:46:25.998773,5977055232,11152580608,5977055232,137875456,7378317312,1.8,415125032960,63585558528,86.7,2232583,1991409,108741937152,55303840768,19161,8099,4184280138,2385089271,0,2726113831,4.2
2024-11-20 21:46:27.008756,5987041280,11142594560,5987041280,137875456,7378317312,1.8,415124779008,63585812480,86.7,2232584,1991582,108741937664,55306103808,19161,8099,4184340302,2385123377,0,2726245650,3.5
2024-11-20 21:46:28.017300,5995892736,11133743104,5995892736,137875456,7378317312,1.8,415124779008,63585812480,86.7,2232584,1991588,108741937664,55306119168,19161,8099,4184401489,2385157500,0,2726390929,5.1
2024-11-20 21:46:29.027940,5996105728,11133530112,5996105728,137875456,7378317312,1.8,415124779008,63585812480,86.7,2232584,1991588,108741937664,55306119168,19161,8099,4184454327,2385187395,0,2726522233,5.2
2024-11-20 21:46:30.037355,5994860544,11134775296,5994860544,137875456,7378317312,1.8,415124779008,63585812480,86.7,2232584,1991591,108741937664,55306127360,19161,8099,4184498944,2385212981,0,2726631759,6.6
2024-11-20 21:46:31.047287,5994778624,11134857216,5994778624,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232584,1991595,108741937664,55306260480,19161,8099,4184542317,2385237743,0,2726729220,5.4
2024-11-20 21:46:32.057474,6001381376,11128254464,6001381376,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232584,1991606,108741937664,55306520064,19161,8099,4184594169,2385266628,0,2726851129,5.0
2024-11-20 21:46:33.068257,6002237440,11127398400,6002237440,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232584,1991606,108741937664,55306520064,19161,8099,4184646428,2385296119,0,2726961287,3.5
2024-11-20 21:46:34.076911,6002384896,11127250944,6002384896,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232584,1991608,108741937664,55306524672,19161,8099,4184684185,2385317327,0,2727063631,7.8
2024-11-20 21:46:35.086479,6002511872,11127123968,6002511872,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232584,1991609,108741937664,55306526720,19161,8099,4184729895,2385342806,0,2727167832,5.6
2024-11-20 21:46:36.096231,6003093504,11126542336,6003093504,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991627,108741937664,55306663936,19161,8099,4184774539,2385367540,0,2727285340,6.4
2024-11-20 21:46:37.104854,6004768768,11124867072,6004768768,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991631,108741937664,55306737664,19161,8099,4184822965,2385394552,0,2727398265,5.6
2024-11-20 21:46:38.114938,6008053760,11121582080,6008053760,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991635,108741937664,55306771456,19161,8099,4184877119,2385424964,0,2727510870,4.1
2024-11-20 21:46:39.124240,6011817984,11117817856,6011817984,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991636,108741937664,55306774016,19161,8099,4184935890,2385457652,0,2727671327,4.0
2024-11-20 21:46:40.134461,6014545920,11115089920,6014545920,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991637,108741937664,55306776576,19161,8099,4184990874,2385488614,0,2727789714,4.8
2024-11-20 21:46:41.143754,6015090688,11114545152,6015090688,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991639,108741937664,55306784768,19161,8099,4185045192,2385518930,0,2727913388,4.6
2024-11-20 21:46:42.152771,6016253952,11113381888,6016253952,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991697,108741937664,55307109888,19161,8099,4185091210,2385545048,0,2728018812,4.0
2024-11-20 21:46:43.162466,6016024576,11113611264,6016024576,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991716,108741937664,55307219456,19161,8099,4185146580,2385576366,0,2728146943,3.3
2024-11-20 21:46:44.173086,6015381504,11114254336,6015381504,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991716,108741937664,55307219456,19161,8099,4185199296,2385606365,0,2728259526,3.3
2024-11-20 21:46:45.182772,6012280832,11117355008,6012280832,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991720,108741937664,55307234304,19161,8100,4185254421,2385637783,0,2728403003,4.2
2024-11-20 21:46:46.192413,6012702720,11116933120,6012702720,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991721,108741937664,55307236864,19161,8100,4185303185,2385665315,0,2728508329,4.7
2024-11-20 21:46:47.202621,6011961344,11117674496,6011961344,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991723,108741937664,55307243520,19161,8100,4185349484,2385691663,0,2728618435,5.7
2024-11-20 21:46:48.212284,6012129280,11117506560,6012129280,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991725,108741937664,55307249664,19161,8100,4185394101,2385717072,0,2728717040,3.6
2024-11-20 21:46:49.221343,6012346368,11117289472,6012346368,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991726,108741937664,55307253760,19161,8100,4185441583,2385743991,0,2728826396,3.5
2024-11-20 21:46:50.229677,6011736064,11117899776,6011736064,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991728,108741937664,55307259904,19161,8100,4185500552,2385777507,0,2728981661,5.7
2024-11-20 21:46:51.240373,6011076608,11118559232,6011076608,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232584,1991731,108741937664,55307271168,19161,8100,4185534278,2385796961,0,2729073050,5.9
2024-11-20 21:46:52.248991,6016212992,11113422848,6016212992,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232586,1991738,108741974528,55307357184,19161,8100,4185577342,2385821870,0,2729175142,6.4
2024-11-20 21:46:53.257486,6004383744,11125252096,6004383744,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232588,1991741,108742068736,55307366400,19161,8100,4185630037,2385851586,0,2729296480,4.4
2024-11-20 21:46:54.265556,6005809152,11123826688,6005809152,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232589,1991757,108742134272,55307474944,19161,8100,4185671282,2385875066,0,2729388756,5.8
2024-11-20 21:46:55.274648,5989322752,11140313088,5989322752,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232589,1991760,108742134272,55307486208,19161,8100,4185721838,2385903758,0,2729530580,5.3
2024-11-20 21:46:56.285582,6004412416,11125223424,6004412416,137875456,7378317312,1.8,415125045248,63585546240,86.7,2232589,1991760,108742134272,55307486208,19161,8100,4185755098,2385922947,0,2729610257,5.9
2024-11-20 21:46:57.295213,6109597696,11020038144,6109597696,137875456,7378317312,1.8,415125114880,63585476608,86.7,2232589,1991790,108742134272,55307710464,19161,8100,4185803872,2385950693,0,2729714193,5.8
2024-11-20 21:46:58.309333,6107721728,11021914112,6107721728,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232589,1991838,108742134272,55307903488,19161,8100,4185839502,2385971292,0,2729804770,5.7
2024-11-20 21:46:59.318364,6106288128,11023347712,6106288128,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232589,1991847,108742134272,55307956224,19161,8100,4185869322,2385988698,0,2729876560,6.4
2024-11-20 21:47:00.327261,6105047040,11024588800,6105047040,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232589,1991847,108742134272,55307956224,19161,8100,4185904898,2386009564,0,2729986834,8.6
2024-11-20 21:47:01.336568,6107430912,11022204928,6107430912,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232589,1991849,108742134272,55307961344,19161,8100,4185950615,2386035698,0,2730108880,5.5
2024-11-20 21:47:02.346414,6100836352,11028799488,6100836352,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232589,1991858,108742134272,55308112896,19161,8100,4185992440,2386059630,0,2730212810,5.6
2024-11-20 21:47:03.356585,6100815872,11028819968,6100815872,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232589,1991859,108742134272,55308116480,19161,8100,4186021488,2386076568,0,2730284478,6.2
2024-11-20 21:47:04.364986,6101581824,11028054016,6101581824,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232589,1991859,108742134272,55308116480,19161,8100,4186051818,2386094063,0,2730366341,7.6
2024-11-20 21:47:05.373519,6102196224,11027439616,6102196224,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232589,1991860,108742134272,55308120064,19161,8100,4186079541,2386110192,0,2730436801,7.4
2024-11-20 21:47:06.382099,6103154688,11026481152,6103154688,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232589,1991861,108742134272,55308124160,19161,8100,4186111047,2386128603,0,2730542609,8.8
2024-11-20 21:47:07.392448,6103805952,11025829888,6103805952,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232590,1991879,108742150656,55308246016,19161,8100,4186141198,2386146092,0,2730620021,8.2
2024-11-20 21:47:08.402526,6104358912,11025276928,6104358912,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232590,1991880,108742150656,55308250112,19161,8100,4186171041,2386163632,0,2730702356,7.3
2024-11-20 21:47:09.412250,6104297472,11025338368,6104297472,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232590,1991886,108742150656,55308297216,19161,8100,4186213589,2386187851,0,2730800752,5.0
2024-11-20 21:47:10.421256,6105518080,11024117760,6105518080,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232590,1991888,108742150656,55308304896,19161,8100,4186260355,2386214625,0,2730912626,6.3
2024-11-20 21:47:11.433427,6079877120,11049758720,6079877120,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232591,1991896,108742167040,55308370944,19161,8100,4186301999,2386238734,0,2731028609,8.1
2024-11-20 21:47:12.447953,6079598592,11050037248,6079598592,137875456,7378317312,1.8,415125110784,63585480704,86.7,2232591,1991900,108742167040,55308452864,19161,8100,4186347105,2386264164,0,2731152183,5.7
2024-11-20 21:47:13.458591,6032543744,11097092096,6032543744,137875456,7378317312,1.8,415125237760,63585353728,86.7,2232592,1991915,108742183424,55308767744,19161,8100,4186394336,2386291096,0,2731256656,7.4
2024-11-20 21:47:14.468004,6035304448,11094331392,6035304448,137875456,7378317312,1.8,415125237760,63585353728,86.7,2232592,1991992,108742183424,55312739328,19161,8100,4186443894,2386319043,0,2731372778,6.1
2024-11-20 21:47:15.477974,6036389888,11093245952,6036389888,137875456,7378317312,1.8,415125303296,63585288192,86.7,2232595,1992006,108742224384,55312898048,19161,8100,4186473465,2386336226,0,2731443494,7.1
2024-11-20 21:47:16.486934,6031245312,11098390528,6031245312,137875456,7378317312,1.8,415125303296,63585288192,86.7,2232595,1992006,108742224384,55312898048,19161,8100,4186510445,2386357637,0,2731553237,7.0
2024-11-20 21:47:17.495542,6052851712,11076784128,6052851712,137875456,7378317312,1.8,415125303296,63585288192,86.7,2232595,1992015,108742224384,55313029632,19161,8100,4186551115,2386381140,0,2731646896,4.9
2024-11-20 21:47:18.503940,6055432192,11074203648,6055432192,137875456,7378317312,1.8,415125303296,63585288192,86.7,2232595,1992017,108742224384,55313033216,19161,8101,4186589907,2386403721,0,2731745491,4.7
